team,color
Anaheim Ducks,#F47A38
Arizona Coyotes,#8C2633
Boston Bruins,#FFB81C
Buffalo Sabres,#002654
Calgary Flames,#C8102E
Carolina Hurricanes,#CC0000
Chicago Blackhawks,#CF0A2C
Colorado Avalanche,#6F263D
Columbus Blue Jackets,#002654
Dallas Stars,#006847
Detroit Red Wings,#CE1126
Edmonton Oilers,#041E42
Florida Panthers,#041E42
Los Angeles Kings,#111111
Minnesota Wild,#154734
Montreal Canadiens,#AF1E2D
Nashville Predators,#041E42
New Jersey Devils,#CE1126
New York Islanders,#00539B
New York Rangers,#0038A8
Ottawa Senators,#C52032
Philadelphia Flyers,#F74902
Pittsburgh Penguins,#000000
San Jose Sharks,#006D75
St. Louis Blues,#002F87
Tampa Bay Lightning,#002868
Toronto Maple Leafs,#00205B
Vancouver Canucks,#00205B
Vegas Golden Knights,#B4975A
Washington Capitals,#041E42
Winnipeg Jets,#041E42