team,color,conference,division
Anaheim Ducks,#F47A38,western,pacific
Arizona Coyotes,#8C2633,western,pacific
Boston Bruins,#FFB81C,eastern,atlantic
Buffalo Sabres,#002654,eastern,atlantic
Calgary Flames,#C8102E,western,pacific
Carolina Hurricanes,#CC0000,eastern,metropolitan
Chicago Blackhawks,#CF0A2C,western,central
Colorado Avalanche,#6F263D,western,central
Columbus Blue Jackets,#002654,eastern,metropolitan
Dallas Stars,#006847,western,central
Detroit Red Wings,#CE1126,eastern,atlantic
Edmonton Oilers,#041E42,western,pacific
Florida Panthers,#041E42,eastern,atlantic
Los Angeles Kings,#111111,western,pacific
Minnesota Wild,#154734,western,central
Montreal Canadiens,#AF1E2D,eastern,atlantic
Nashville Predators,#041E42,western,central
New Jersey Devils,#CE1126,eastern,metropolitan
New York Islanders,#00539B,eastern,metropolitan
New York Rangers,#0038A8,eastern,metropolitan
Ottawa Senators,#C52032,eastern,atlantic
Philadelphia Flyers,#F74902,eastern,metropolitan
Pittsburgh Penguins,#000000,eastern,metropolitan
San Jose Sharks,#006D75,western,pacific
St. Louis Blues,#002F87,western,central
Tampa Bay Lightning,#002868,eastern,atlantic
Toronto Maple Leafs,#00205B,eastern,atlantic
Vancouver Canucks,#00205B,western,pacific
Vegas Golden Knights,#B4975A,western,pacific
Washington Capitals,#041E42,eastern,metropolitan
Winnipeg Jets,#041E42,western,central